No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
182	8	57	このポールは、向こうのあのポールの2倍の長さがある。	This pole is ( ) that one over there.	twice the length of	twice longer	double long of	twice the length of	twice long to	4択書換	<日本工大>
185	8	58	エネルギー問題は、経済問題というよりは環境問題である。	Energy issues are not ( ) economic problems as environmental problems.	so much	very much	so much	so little	so many	4択	<西南学院大>
186	8	58	彼女のものぐさな夫は、自分の皿を洗うことさえしない。	Her lazy husband does not so ( ) as wash his own dishes.	much	even	much	far	little	4択	<九州産大>
187	8	58	彼は歴史上、並外れた偉大な学者である。	He is as great a scholar ( ).	as ever lived	as ever lived	than has ever lived	who never lived	as has never lived	4択	<工学院大>
188	8	59	こっちのを飼おうとよ。ずっと安いよ。	Let's buy this one. It's ( ) cheaper.	much	much	very	too	more	4択	<駒澤大>
190	8	59	彼は利口というより賢明だ。	He is ( ) than clever.	wiser	more wise	wiser	wise	the most wise	4択	<愛知淑徳大>
191	8	59	彼女は、2冊の本のうち安い方を買った。	She bought ( ) of the two books.	the cheaper	cheapest	the cheaper	cheaper	the cheapest	4択	<亜細亜大>
192	8	60	そのことについて考えれば考えるほど、私はますますジキルはおかしいと確信するようになった。	The more I thought about it, ( ) certain I became that Jekyll was mad.	the more	even more	the more	mostly	it was almost	4択	<長岡造形大>
194	8	60	彼女は、彼の性格のためによりいっそう彼を愛していると言う。	She says she loves him all ( ) for his character.	the more	more	less	the more	the most	4択	<防衛大学校>
195	8	60	よい物語は、2度語られたからといって少しも悪くはならない。	A good tale is none the ( ) for being twice told.	worse	least	worse	excellence	good	4択	<青山学院大>
196	8	60	どんなに聡明なチンパンジーであっても話すことができないのは、彼らが飛ぶことができないのと同じである。	Even the brightest of chimpanzees can no( ) speak than they can fly.	more	less	least	more	most	4択	<東京薬大>
197	8	60	仕事が人生の唯一の目的ではないのは、遊びがそうでないのと同じである。	Work is not the only object in life ( ) play is.	any more than	any more than	more or less than	more than	no less than	4択	<明治学院大>
199	8	60	新聞によると、先月は百万人もの客がその美術館を訪れたそうだ。	According to the newspaper, ( ) one million people visited the museum last month.	no less than	no less	no less than	no more	not any more	4択	<近畿大>
