No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
182	8	57	このポールは、向こうのあのポールの2倍の長さがある。	This pole is ( ) that one over there.	twice the length of	1.twice longer	2.double long of	3.twice the length of	4.twice long to	4択書換	<日本工大>
185	8	58	エネルギー問題は、経済問題というよりは環境問題である。	Energy issues are not ( ) economic problems as environmental problems.	so much	1.very much	2.so much	3.so little	4.so many	4択	<西南学院大>
186	8	58	彼女のものぐさな夫は、自分の皿を洗うことさえしない。	Her lazy husband does not so ( ) as wash his own dishes.	much	1.even	2.much	3.far	4.little	4択	<九州産大>
187	8	58	彼は歴史上、並外れた偉大な学者である。	He is as great a scholar ( ).	as ever lived	1.as ever lived	2.than has ever lived	3.who never lived	4.as has never lived	4択	<工学院大>
188	8	59	こっちのを飼おうとよ。ずっと安いよ。	Let's buy this one. It's ( ) cheaper.	much	1.much	2.very	3.too	4.more	4択	<駒澤大>
190	8	59	彼は利口というより賢明だ。	He is ( ) than clever.	wiser	1.more wise	2.wiser	3.wise	4.the most wise	4択	<愛知淑徳大>
191	8	59	彼女は、2冊の本のうち安い方を買った。	She bought ( ) of the two books.	the cheaper	1.cheapest	2.the cheaper	3.cheaper	4.the cheapest	4択	<亜細亜大>
192	8	60	そのことについて考えれば考えるほど、私はますますジキルはおかしいと確信するようになった。	The more I thought about it, ( ) certain I became that Jekyll was mad.	the more	1.even more	2.the more	3.mostly	4.it was almost	4択	<長岡造形大>
194	8	60	彼女は、彼の性格のためによりいっそう彼を愛していると言う。	She says she loves him all ( ) for his character.	the more	1.more	2.less	3.the more	4.the most	4択	<防衛大学校>
195	8	60	よい物語は、2度語られたからといって少しも悪くはならない。	A good tale is none the ( ) for being twice told.	worse	1.least	2.worse	3.excellence	4.good	4択	<青山学院大>
196	8	60	どんなに聡明なチンパンジーであっても話すことができないのは、彼らが飛ぶことができないのと同じである。	Even the brightest of chimpanzees can no( ) speak than they can fly.	more	1.less	2.least	3.more	4.most	4択	<東京薬大>
197	8	60	仕事が人生の唯一の目的ではないのは、遊びがそうでないのと同じである。	Work is not the only object in life ( ) play is.	any more than	1.any more than	2.more or less than	3.more than	4.no less than	4択	<明治学院大>
199	8	60	新聞によると、先月は百万人もの客がその美術館を訪れたそうだ。	According to the newspaper, ( ) one million people visited the museum last month.	no less than	1.no less	2.no less than	3.no more	4.not any more	4択	<近畿大>
200	8	60	彼がたくさん本を持っているのに、私はびっくりした。 彼の書斎には少なくとも5、000冊の本があった。	There were ( ) five thousand books in his library.	not less than	1.not more than	2.not less than	3.no more than	4.at most	4択	<皇學館大>
203	8	61	もちろん彼はとてもすばらしい書き手ですが、学者と言うよりもジャーナリストです。	Of course he is quite a good writer, but he is a journalist ( ) than a scholar.	rather	1.better	2.either	3.further	4.rather	4択	<京都産大>
205	8	61	私は彼女と話をしたことさえないし、ましてやあなたの個人的な問題を彼女と議論したこともない。	I did not even speak to her, ( ) discuss your personal problems with her.	much less	1.much less	2.still more	3.much more	4.less than	4択	<昭和女子大>
208	8	62	ほとんどの子どもが勉強よりも遊びを好む。	Most children prefer playing ( ) studying.	to	1.than	2.to	3.for	4.in	4択	<札幌大>
209	9	63	3人の姉妹の中で、ジェーンが最も歌がうまかった。	Of the three sisters, Jane was ( ) singer.	the best	1.the better	2.a better	3.the best	4.a best	4択	<獨協大>
210	9	63	この映画は、 すべての中でずば抜けておもしろい。	This movie is ( ) far the most interesting of all.	by	1.too	2.by	3.much	4.very	4択	<東海大>
211	9	63	スーザンは、クラスの中でずば抜けてすぐれた学生です。	Susan is ( ) student in her class.	much the best	1.much best	2.much the best	3.the much best	4.very the best	4択	<学習院女子大>
212	9	63	これは、私がこれまで見てきた中で最も美しい景色である。	This is ( ) beautiful scene I've ever seen.	the most	1.much more	2.much less	3.prettier than	4.the most	4択	<岩手医科大>
214	9	63	ロサンゼルスは合衆国で2番目に大きな都市だ。	Los Angeles is ( ) city in the United States.	the second largest	1.the second largest	2.the largest next	3.the second larger	4.the next larger	4択	<専修大>
215	9	63	ロールス・ロイスは、世界で最も高価な車の一つです。	A Rolls-Royce is one ( ) in the world.	of the most expensive cars	1.of the most expensive car	2.of the most expensive cars	3.of more expensive car	4.of more expensive cars	4択	<拓殖大>
216	9	63	もうすぐ2時なので、私たちにはせいぜい10分しか残されていない。	It's almost two o'clock so we have only ten more minutes ( ).	at most	1.at first	2.at last	3.at least	4.at most	4択	<センター試験>
217	9	64	トムはクラスのほかのどの生徒よりも背が高い。	Tom is taller than ( ) in the class.	any other student	1.any other student	2.other any student	3.the other students	4.any other students	4択	<近畿大>
220	9	64	友情は子どもにとって最も大切である。	( ) is as important to a child as friendship.	Nothing	1.Anybody	2.Anytime	3.Nothing	4.Somebody	4択書換	<近畿大>
221	9	65	「クマを見たことがある?」「ええ、3年前に上野動物園で見たわ」	Have you ever seen a bear? "Yes, I saw ( ) in Ueno Zoo three years ago."	one	1.it	2.that	3.one	4.him	4択	<東洋大>
222	9	65	もしジェーンがそのお金を必要としているのなら、それを貸しましょう。	I will lend Jane the money if she needs ( ).	it	1.one	2.it	3.the one	4.so	4択	<関西外大>
223	9	65	「どんな腕時計を買ったらいいでしょうか」「日本製を買いなさい」	What kind of watch shall I buy? "Get ( )."	a Japanese one	1.one Swiss	2.French one	3.a Japanese one	4.American watch	4択	<東海大>
224	9	65	「この新しい辞書で単語を調べるのは大変だよ」「それなら、前に使っていたものを使ったらどう?」	It's hard to look up words in this new dictionary. "Then why don't you use ( ) you were using before?"	the one	1.a one	2.it	3.one another	4.the one	4択	<共立女子大>
225	9	65	ヨシコは白ワインより赤ワインが好きだ。	Yoshiko likes red wine better than ( ).	white	1.a white one	2.white one	3.white	4.the white one	4択	<園田学園女子大>
226	9	65	これらのシャツは高すぎます。 もっと安いものを見せてもらえますか。	These shirts are too expensive. May I see some cheaper ( )?	ones	1.ones	2.one	3.any	4.other	4択	<拓殖大>
227	9	66	その新しいデザインは、古いデザインよりもさらに上品です。	The new designs are more elegant than the old ( ).	ones	1.it	2.that	3.ones	4.them	4択	<拓殖大>
228	9	66	東京の人口は大阪の人口よりも多い。	The population of Tokyo is larger than ( ) of Osaka.	that	1.those	2.which	3.one	4.that	4択	<東京経大>
230	9	66	他の国から輸入された車はその国で生産されたものよりもずっといい。	Cars imported from other countries are a lot better than ( ) made in the country.	those	1.all	2.them	3.those	4.which	4択	<立教大>
232	9	66	会議に出席していた人たちは、 その計画を支持した。	( ) present at the meeting supported the plan.	Those	1.They	2.That	3.Who	4.Those	4択	<岩手医科大>
233	9	66	アメリカ人は、質問に対して正直で誠実な答えを期待しているし、 また答えをそういうものとして受けとめるだろう。	Americans expect honest, sincere answers to their questions, and they will take answers as ( ).	such	1.it	2.so	3.such	4.well	4択	<中部大>
237	10	68	彼は自分専用のコンピュータを持っていなかったので、彼らは自分たちのコンピュータを彼に貸してあげた。	He didn't have a computer of his own, so they let him borrow ( ).	theirs	1.their	2.theirs	3.them	4.themselves	4択	<武蔵大>
238	10	68	私のこの古いカメラは、父からのプレゼントでした。	( ) was a present from my father.	This old camera of mine	1.My old camera of this	2.My old this camera	3.This my old camera	4.This old camera of mine	4択	<センター試験>
239	10	69	昨晩ケンと私は外食したかったのだが、二人とも十分なお金の持ち合わせがなかった。	Although Ken and I wanted to eat out last night, ( ) of us had enough money.	neither	1.either	2.neither	3.no one	4.no	4択	<東海大>
240	10	69	「これらの帽子のどちらかをいかがですか」「ありがとう。 でもどちらもほしくありません」	Would you like either of these hats? "No, I don't want ( ), thanks."	either	1.both	2.either	3.neither	4.none of these	4択	<湘南工科大>
241	10	69	この通りの両側にはたくさんのお店がある。	There are many shops on ( ) side of the road.	either	1.any	2.another	3.either	4.both	4択	<京都産大>
242	10	69	運がよかったことに、昨日は3人の児童のうち誰もケガをしなかった。	Fortunately, ( ) of the three school children were hurt yesterday.	none	1.either	2.neither	3.nobody	4.none	4択	<立命館大>
243	10	69	ケーキがほしかったが、まったく残っていなかった。	I wanted some cake, but there was ( ) left.	none	1.none	2.no	3.any	4.much	4択	<駒澤大>
244	10	70	これら4人の学生は、それぞれ作文を書いた。	( ) of these four students has written an essay.	Each	1.Both	2.Every	3.Each	4.Some	4択	<姫路獨協大>
245	10	70	今度の月曜日に、 彼の両親が岐阜に来ることになっている。	( ) parents will come to Gifu next Monday.	Both his	1.His both	2.Both his	3.His both of	4.Both his of	4択	<岐阜聖徳学園大>
246	10	70	これらのバスのどれにでも乗ることができます。 みんな都心に行きます。	You can catch ( ) of these buses. They all go to the city center.	any	1.any	2.every	3.most	4.some	4択	<久留米大>
247	10	70	トムとメアリーは共通の友人を通じておたがいに知り合いになった。	Tom and Mary became ( ) through mutual friends.	acquainted with each other	1.acquainted each other	2.acquainted themselves	3.acquainted with	4.acquainted with each other	4択	<日本大>
248	10	70	「もしその賞金をもらったら、 そのお金で何をする、ジュリー?」「世界中のすべての国に行ってみたいわ」	If you won the prize, what would you do with the money, Julie? "I would like to visit ( ) in the world."	every country	1.every country	2.all country	3.every countries	4.every places	4択	<大妻女子大>
250	10	70	スーザンは、月・水・金と、平日の1日おきにピアノの個人レッスンを受けています。	Susan has a private piano lesson ( ) weekday: Monday, Wednesday, Friday.	every other	1.every one	2.every other	3.every third	4.day after	4択	<名古屋女子大>
251	11	71	「キャシーと彼女のお姉さん[妹さん]はとても似てるね」「ええ、私は2人を区別できないわ」	Kathy and her sister are so alike. "Yes, I can't tell one from ( )."	the other	1.another	2.other	3.others	4.the other	4択	<センター試験>
252	11	71	この車を売って、別の車を買うつもりです。	I'm going to sell this car and get ( ) one.	another	1.another	2.new	3.different	4.other	4択	<桃山学院大>
253	11	71	私には3人の息子がいますが、1人はシカゴに住んでおり、 あとはニューヨークに住んでいます。	I have three sons; one lives in Chicago and ( ) live in New York.	the others	1.other	2.others	3.another	4.the others	4択	<姫路獨協大>
254	11	71	バレーボールが好きなクラスメートもいれば、テニスを楽しむクラスメートもいる。	Some of my classmates like volleyball and ( ) enjoy tennis.	others	1.another	2.other	3.others	4.the other	4択	<玉川大>
